building_id,mean_temp,std_temp,pct_above_18,pct_below_15
10000,0.5413061462514918,1.6965192508052174,0.0,100.0
10009,0.33454602849532616,1.3004999194765074,0.0,100.0
10014,0.3769581747114269,1.4379015360258252,0.0,100.0
10019,0.3774058758303578,1.4395570257198727,0.0,100.0
10029,0.4864698090191743,1.5258013776865147,0.0,100.0
10031,0.3852322275579648,1.3881194464202853,0.0,100.0
10051,0.7760106783458205,1.8816262445525895,0.0,100.0
10053,0.4743697108603667,1.533088377616053,0.0,100.0
10056,0.8182946721459212,1.9521348865644506,0.0,100.0
10064,0.36152121689570993,1.3833545248872516,0.0,100.0
10075,0.3326575059623708,1.3346811739110571,0.0,100.0
10079,0.3968204036199971,1.5334810978152071,0.0,100.0
10080,0.40571942569387975,1.5506582826785527,0.0,100.0
10082,0.4148659380778531,1.5816097627702903,0.0,100.0
10083,0.607280182894992,1.8033489926417279,0.0,100.0
10084,0.5888232193946695,1.755083251391026,0.0,100.0
10085,0.6045564043961005,1.8014736590133498,0.0,100.0
10086,0.3762022716288062,1.480630434271145,0.0,100.0
10087,0.38021855947091043,1.4730991163551208,0.0,100.0
10089,0.36951323019017807,1.4661002628138207,0.0,100.0
